Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-647.1475	-755.0473	107.8998	0.00611505	0.0350343	0.0557698	0.0295039	0.0103828	0.0253999	0.00765538	0.0197363	0.0272731	0.0337988	0.00952313	0.00907397	0.102037	0.047017	0.00277297	0.0111174	0.00430967	0.00158359	0.00616422	0.0149214	0.0247057	0.00296254	0.0088908	0.00767071	9.07616e-06	0.00101906	0.00024771	0.0128179	0.0126329	0.0112759	0.0427492	0.0250808	0.00405372	0.00185388	0.00261941	0.00783109	0.0215057	0.0140079	0.0444055	0.0171642	0.0105117	0.0147652	0.0216392	0.0124442	0.0214313	0.00488518	0.0159268	0.00206992	0.000485311	0.0144303	0.000617013	0.0226235	0.0274914	0.0241647	0.00409323	0.00551722	0.0244004	0.0334592	8.0869e-06	0.00603409	0.0152281	0.00970544	0.049423	0.029914	0.00219574	0.0136646	0.0185978	0.0395257	0.00462393	0.874	1.126	0.113247	0.345658	0.717904	1.39294	2.89303	8.83026	1.574977	1.28833	0.00521509	0.0298782	0.0475621	0.0251617	0.00885477	0.0216617	0.00652872	0.0168317	0.0232592	0.0288245	0.00812159	0.00773853	0.0870204	0.0400974	0.00236487	0.00948119	0.00367541	0.00135053	0.00525701	0.0127254	0.0210697	0.00252653	0.00758231	0.00654179	7.7404e-06	0.000869081	0.000211254	0.0109315	0.0107737	0.00961637	0.0364577	0.0213896	0.00345712	0.00158104	0.00223391	0.00667857	0.0183406	0.0119463	0.0378702	0.0146381	0.00896468	0.0125922	0.0184545	0.0106128	0.0182772	0.00416622	0.0135828	0.00176528	0.000413887	0.0123065	0.000526206	0.019294	0.0234454	0.0206083	0.00349082	0.00470524	0.0208093	0.0285349	6.89673e-06	0.00514604	0.012987	0.00827707	0.0421493	0.0255115	0.00187259	0.0116535	0.0158607	0.0337086	0.00394341	0.313973	0.686027	0.3139732	1.17257
36	-644.2451	-752.1154	107.8702	0.0253855	0.0149233	0.0155662	0.0118819	0.0114326	0.0114926	0.020334	0.000837498	0.0112529	0.000987089	0.0290786	0.00420835	0.0493988	0.0544108	0.00980888	0.000593243	0.000326679	0.0017677	0.00204357	0.021355	0.0261352	0.0110316	0.00250206	0.00544953	0.000211506	0.0123415	0.00691044	0.0161812	0.00855205	0.00154151	0.00998555	0.0176018	0.00100752	0.00382963	0.000850747	0.000608402	0.0256777	0.00430761	0.0334357	0.00161771	0.0282593	0.0464391	0.00512703	0.0040419	0.0179766	0.00579037	0.014517	0.00612534	0.0127066	0.0468648	0.000444041	0.0158864	0.0136912	0.0419017	0.0188364	0.0135026	0.0011079	0.02552	0.00636261	0.00728022	0.00459054	0.00682849	0.0436894	0.000139348	0.01988	0.0544971	0.00879548	0.00326345	0.0125854	0.7588689	1.241131	0.1163	0.350172	0.720816	1.38732	2.85574	8.59844	1.555741	1.635501	0.0260761	0.0153293	0.0159897	0.0122052	0.0117436	0.0118053	0.0208872	0.000860283	0.011559	0.00101394	0.0298697	0.00432284	0.0507427	0.0558911	0.0100757	0.000609383	0.000335566	0.0018158	0.00209917	0.0219359	0.0268462	0.0113317	0.00257013	0.00559779	0.00021726	0.0126773	0.00709845	0.0166214	0.00878472	0.00158345	0.0102572	0.0180807	0.00103493	0.00393382	0.000873893	0.000624954	0.0263763	0.00442481	0.0343453	0.00166172	0.0290281	0.0477025	0.00526652	0.00415187	0.0184657	0.0059479	0.014912	0.00629198	0.0130523	0.0481398	0.000456121	0.0163187	0.0140636	0.0430417	0.0193488	0.01387	0.00113804	0.0262143	0.00653571	0.00747829	0.00471543	0.00701426	0.044878	0.000143139	0.0204209	0.0559798	0.00903477	0.00335223	0.0129278	0.371248	0.628752	0.3712477	0.9735145
72	-645.7581	-753.6225	107.8644	0.00551337	0.0169279	0.0143283	0.00228055	0.013273	0.0208306	0.00298977	0.00273106	0.00200834	0.0131627	0.0144303	0.000553201	0.0330745	0.0137142	0.00585394	0.00481096	0.00128442	0.00157603	0.00162797	0.0105897	0.00266018	0.00267874	0.00304502	0.00658305	0.000458933	0.00175966	0.00477276	0.0234537	0.0195255	0.0040692	0.00696932	0.00824891	0.00126662	0.00104149	0.00456949	0.00484663	0.0156566	0.00833764	0.0157588	0.022525	0.00150582	0.00878479	0.0122112	0.0184505	8.04338e-05	0.000610267	0.00785113	0.00201154	0.00554261	0.00684671	0.00552272	0.0148537	0.0329225	0.00447707	0.0011595	9.85747e-05	0.0150375	0.00454733	0.00111585	0.000994567	0.00562697	0.00755641	0.0314374	0.0128733	0.00382678	0.0189683	0.011744	0.029537	0.00434375	0.8913535	1.108647	0.0533576	0.23947	0.640232	1.56193	4.17589	18.7415	2.119125	1.243779	0.00903348	0.0277359	0.0234765	0.00373661	0.0217474	0.0341302	0.00489864	0.00447476	0.00329061	0.0215666	0.0236436	0.000906403	0.0541915	0.0224702	0.00959149	0.0078826	0.00210448	0.00258228	0.00266737	0.0173509	0.00435862	0.00438903	0.00498917	0.0107861	0.000751947	0.00288314	0.00782002	0.0384282	0.0319919	0.00666725	0.011419	0.0135156	0.00207531	0.00170645	0.00748696	0.00794104	0.0256528	0.013661	0.0258203	0.0369065	0.00246724	0.0143936	0.0200077	0.0302306	0.000131788	0.000999903	0.0128638	0.00329585	0.00908139	0.0112181	0.0090488	0.0243373	0.0539424	0.00733554	0.00189981	0.000161512	0.0246384	0.00745066	0.00182828	0.00162957	0.00921962	0.0123809	0.0515092	0.0210925	0.00627006	0.0310789	0.0192421	0.0483955	0.00711709	0.366018	0.633982	0.3660181	0.6103263
108	-636.814	-744.5423	107.7283	0.00642781	0.0374312	0.00665255	0.009248	0.00934822	0.0262258	0.0324085	0.000416303	0.00547434	0.0114424	0.00852454	0.028516	0.0706781	0.0715313	0.0015976	0.00577506	0.0031103	0.00268264	0.000451192	0.018033	0.00890543	0.00502347	0.00303385	0.00308505	0.000171897	0.00539229	0.00121692	0.0293139	0.00441666	0.000732599	0.0172784	0.0149328	0.00858712	0.00266773	0.000471142	0.00209883	0.0271193	0.0190624	0.0374262	0.0137649	0.0141073	0.0109876	0.00899829	0.00406946	0.0427225	0.00913352	0.00193085	0.0428038	0.00910532	0.0574834	0.0406624	0.0178198	0.0482841	0.00372524	0.00855676	0.00442601	0.000216851	0.0564659	0.00552522	0.00756402	0.000787659	0.00945414	0.0482611	0.00272385	0.00739316	0.043805	0.0438027	0.00443507	0.0140581	0.8575346	1.142465	0.0878218	0.305346	0.690661	1.44789	3.27497	11.3867	1.758826	1.332268	0.0056884	0.0331254	0.00588729	0.00818418	0.00827288	0.023209	0.0286805	0.000368415	0.00484461	0.0101261	0.00754395	0.0252358	0.0625478	0.0633029	0.00141382	0.00511074	0.00275251	0.00237405	0.00039929	0.0159587	0.00788102	0.00444561	0.00268486	0.00273017	0.000152123	0.004772	0.00107694	0.0259418	0.0039086	0.000648327	0.0152908	0.0132151	0.00759932	0.00236085	0.000416946	0.00185739	0.0239997	0.0168697	0.033121	0.0121815	0.0124845	0.00972363	0.00796319	0.00360134	0.037808	0.00808287	0.00170874	0.03788	0.00805791	0.050871	0.0359849	0.01577	0.0427299	0.00329672	0.00757245	0.00391688	0.000191906	0.0499705	0.00488964	0.00669391	0.000697053	0.0083666	0.0427095	0.00241052	0.00654271	0.038766	0.038764	0.00392489	0.012441	0.263204	0.736796	0.2632043	1.129985
144	-635.1052	-743.1003	107.9951	0.00154348	0.0159172	0.00750982	0.0026442	0.0183637	0.0162498	0.00622023	0.00104235	0.013784	0.00671851	0.012171	0.0135244	0.030486	0.0681947	0.0023828	0.00581943	0.00212044	0.00374396	0.000620375	0.00155321	0.00950921	0.00261054	0.000586645	0.00505294	0.000120012	0.00147658	0.00842749	0.00855798	0.00880874	0.000348255	0.0144282	0.00685744	0.00111602	0.00900054	0.00528742	7.84528e-05	0.0200914	0.00829507	0.0236548	0.0372912	0.00968415	0.00242939	0.00502053	0.00201802	0.0275974	0.00800204	0.00151925	0.031085	0.00745831	0.023715	0.0222548	0.0139473	0.0489112	0.0069317	0.00320507	0.00165271	0.00379191	0.0329688	0.00100455	0.0181028	0.000485083	0.00657683	0.0238219	0.00113446	0.00726532	0.0205615	0.0130797	0.00664151	0.00172226	0.8894853	1.110515	0.0714539	0.276125	0.669322	1.49405	3.62155	13.995	1.907964	1.248491	0.00204489	0.0210881	0.00994945	0.00350319	0.0243293	0.0215287	0.00824094	0.00138097	0.0182619	0.00890109	0.0161249	0.0179179	0.0403896	0.0903484	0.00315687	0.00770992	0.00280929	0.00496023	0.00082191	0.00205778	0.0125984	0.0034586	0.000777222	0.00669443	0.000158999	0.00195626	0.0111652	0.0113381	0.0116703	0.000461389	0.0191153	0.00908515	0.00147857	0.0119244	0.00700508	0.000103939	0.0266183	0.0109898	0.0313394	0.0494056	0.0128301	0.0032186	0.0066515	0.00267359	0.0365627	0.0106016	0.00201279	0.0411833	0.00988122	0.0314191	0.0294844	0.0184782	0.0648004	0.00918354	0.00424627	0.00218961	0.00502375	0.043679	0.00133089	0.0239836	0.000642667	0.00871338	0.0315607	0.00150299	0.00962553	0.0272411	0.0173288	0.00879907	0.00228176	0.508196	0.491804	0.5081957	0.7547969
180	-631.9182	-739.9061	107.9879	0.00252072	0.0244436	0.00884783	0.00168366	0.0145514	0.0122402	0.00469457	0.00373637	0.0220428	0.00561858	0.00477571	0.00311169	0.0228831	0.0413415	0.00125464	0.00683091	0.000396964	0.00482565	4.6002e-05	0.0136748	0.00992971	0.00433327	0.000177761	0.0118845	0.000406835	0.000410486	0.00407355	0.00517912	0.000459484	0.00377204	0.00486581	0.002296	0.000422155	0.00548762	0.00158672	9.02464e-05	0.0115526	0.00311275	0.0154498	0.00701904	0.00157629	0.00135302	0.012522	0.000635804	0.0268319	0.00679855	0.00993927	0.00913782	0.000330249	0.0431125	0.0276598	0.0137762	0.0143119	0.00286961	0.00230054	0.00941492	0.00417591	0.0182931	0.0039835	0.0202607	0.0092203	0.00705036	0.00662464	8.61552e-05	0.00567887	0.0270859	0.0174177	0.00374703	0.0166486	0.893104	1.106896	0.0631132	0.259906	0.6568	1.52253	3.84755	15.8445	1.997713	1.239381	0.00409958	0.0397539	0.0143897	0.00273823	0.0236656	0.0199068	0.00763502	0.00607664	0.0358494	0.00913779	0.00776699	0.00506069	0.0372159	0.0672358	0.00204049	0.0111095	0.000645603	0.00784819	7.48155e-05	0.0222401	0.0161492	0.00704741	0.000289102	0.0193284	0.000661657	0.000667594	0.00662503	0.00842306	0.000747283	0.00613466	0.00791351	0.00373411	0.000686572	0.0089248	0.00258057	0.000146772	0.0187886	0.00506243	0.0251268	0.0114154	0.00256361	0.00220048	0.0203651	0.00103404	0.0436382	0.0110568	0.0161647	0.0148613	0.000537101	0.070116	0.0449845	0.0224049	0.0232762	0.00466699	0.00374149	0.015312	0.0067915	0.029751	0.00647857	0.032951	0.0149954	0.0114664	0.010774	0.000140119	0.00923583	0.0440513	0.0283273	0.00609398	0.0270765	0.394855	0.605145	0.3948546	0.6148734
216	-643.2914	-750.9336	107.6422	0.0107367	0.0269583	0.0217861	0.0167444	0.0189252	0.0479755	0.00221967	0.00140056	0.0153714	0.0286866	0.0047363	0.00592473	0.0553779	0.0313208	0.00491802	0.0176153	0.00522906	0.00415932	0.00126886	0.0115676	0.010233	0.00180304	0.000441522	0.00317444	5.69795e-05	0.00364777	0.0049761	0.0123662	0.00946501	0.0286555	0.00612057	0.00773599	0.0017003	0.00627683	0.000377791	0.00674692	0.00159858	0.013825	0.0386004	0.0130801	0.0072054	0.00905354	0.0308774	0.0118418	0.00357259	0.00137487	0.00712834	0.0220003	0.0105112	0.0187139	0.0188027	0.0611923	0.00698265	0.000417854	0.00611268	0.00814783	0.0374047	0.0659796	0.0222916	0.0139238	0.0215515	0.023213	0.00389846	0.0209666	0.00636526	0.0622944	0.00898356	0.0714457	0.000956349	0.767834	1.232166	0.0968209	0.320225	0.700989	1.42656	3.12281	10.3283	1.688288	1.60473	0.00987728	0.0248003	0.0200421	0.0154041	0.0174102	0.0441351	0.00204198	0.00128845	0.0141409	0.0263902	0.00435717	0.00545047	0.050945	0.0288136	0.00452433	0.0162052	0.00481048	0.00382638	0.00116729	0.0106416	0.00941382	0.00165871	0.000406179	0.00292033	5.24184e-05	0.00335577	0.00457777	0.0113763	0.00870734	0.0263617	0.00563063	0.00711673	0.00156419	0.00577438	0.000347549	0.00620684	0.00147061	0.0127183	0.0355105	0.012033	0.00662862	0.00832882	0.0284057	0.0108939	0.00328661	0.00126481	0.00655772	0.0202392	0.00966977	0.0172159	0.0172976	0.056294	0.0064237	0.000384406	0.00562337	0.00749561	0.0344105	0.060698	0.0205071	0.0128092	0.0198263	0.0213549	0.00358639	0.0192882	0.00585572	0.0573078	0.00826443	0.0657266	0.000879794	0.400952	0.599048	0.4009517	1.087014
252	-645.963	-753.97	108.007	0.0105825	0.0209441	0.0341432	0.036709	0.0325298	0.0210003	0.0167679	0.000491774	0.0192749	0.0247988	0.01826	0.0170897	0.0216686	0.114936	0.000433206	0.0112914	0.00527562	0.004059	0.00653727	0.0116139	0.0130317	0.00168498	0.00334258	0.00725666	0.00106492	0.00471375	0.00495719	0.0185258	0.0161753	0.0172172	0.00874584	0.0212287	0.00693478	0.0142036	0.00341832	0.0243713	0.0256274	0.0679645	0.0157125	0.0645065	0.0622204	0.0169445	0.0186506	0.0320142	0.0462358	0.00170438	0.00504693	0.000546038	0.00286895	0.0131566	0.00418663	0.00732077	0.0464279	0.00824564	0.00257383	0.0199558	0.0377027	0.0431804	0.0136033	0.00112363	0.00217593	0.0260126	0.0163884	0.0256413	0.0152182	0.0317032	0.000900821	0.0439935	0.000154471	1.016912	0.9830885	0.110531	0.341589	0.715257	1.3981	2.92749	9.04725	1.592531	0.9667394	0.0080476	0.0159272	0.0259646	0.0279159	0.0247377	0.01597	0.0127513	0.000373976	0.0146578	0.0188586	0.013886	0.0129961	0.0164781	0.0874049	0.000329437	0.00858673	0.00401191	0.00308672	0.00497135	0.00883192	0.00991015	0.00128137	0.00254191	0.00551842	0.000809835	0.00358463	0.00376976	0.0140882	0.0123007	0.013093	0.00665089	0.0161436	0.00527365	0.0108013	0.0025995	0.0185335	0.0194887	0.0516845	0.0119488	0.0490548	0.0473163	0.0128857	0.0141831	0.0243456	0.0351606	0.00129612	0.003838	0.000415242	0.00218173	0.0100051	0.00318378	0.00556717	0.0353067	0.0062705	0.0019573	0.0151756	0.0286715	0.0328371	0.0103448	0.000854478	0.00165471	0.0197816	0.0124628	0.0194993	0.0115729	0.0241091	0.000685041	0.0334554	0.000117469	0.289822	0.710178	0.2898222	1.314988
288	-657.2055	-765.3149	108.1095	0.0227567	0.00232303	0.00818758	0.00380983	0.0153446	0.0343649	0.0131916	0.00978999	0.0284773	0.015301	0.00884145	0.0113796	0.0621112	0.0807999	0.000242433	0.000537544	0.000572439	0.0128765	0.00339646	0.0112377	0.00917982	0.00341886	0.0175155	0.0414135	0.00291185	0.0136563	0.0122011	0.0330627	0.0108922	0.0154943	0.0166953	0.0206347	0.00274544	0.00593236	0.000369001	0.00235394	0.0308549	0.0195099	0.0521559	0.0322502	0.00234859	0.0238203	0.00609218	0.0322689	0.00323765	0.0114301	0.0122599	0.000795651	0.00716231	0.0475878	0.00253427	0.0510717	0.00155174	0.016167	0.000910379	0.0350986	0.0275327	0.0832952	0.000624559	0.0389371	0.00499755	0.0218714	0.0355828	0.048245	0.00638909	0.0158066	0.0100414	0.0763749	0.025509	1.088026	0.9119735	0.109405	0.339887	0.714143	1.40028	2.94215	9.14039	1.599936	0.8381906	0.0170038	0.00173576	0.00611774	0.00284669	0.0114655	0.0256774	0.00985673	0.00731506	0.0212782	0.0114329	0.00660631	0.00850283	0.0464093	0.0603735	0.000181146	0.000401651	0.000427725	0.00962131	0.00253783	0.00839677	0.00685914	0.00255456	0.0130875	0.030944	0.00217573	0.010204	0.00911663	0.0247044	0.00813861	0.0115773	0.0124747	0.0154182	0.00205139	0.00443265	0.000275717	0.00175886	0.0230547	0.0145778	0.0389708	0.0240973	0.00175486	0.0177984	0.00455206	0.0241113	0.00241917	0.00854052	0.00916055	0.000594508	0.00535166	0.0355575	0.0018936	0.0381606	0.00115946	0.01208	0.000680233	0.0262256	0.0205724	0.062238	0.000466669	0.0290937	0.00373416	0.0163422	0.0265874	0.0360486	0.00477392	0.0118106	0.00750288	0.0570672	0.0190602	0.462531	0.537469	0.462531	1.338334
324	-648.2064	-756.6681	108.4617	0.0193755	0.00408783	0.0132615	0.0138798	0.0232969	0.00163143	0.003237	0.00625124	0.00933171	0.0141862	0.00140947	0.00519861	0.0294941	0.0271399	0.00164741	0.00207695	0.00188795	0.00338784	0.00436897	0.00548512	0.012392	0.00304118	0.00121279	0.00427914	9.81631e-06	0.00301812	0.00371446	0.00828516	0.00116113	0.0117937	0.0095366	0.0057511	0.00268276	0.00257509	0.000532695	0.000846414	0.0168196	0.00471689	0.0125314	0.00976204	0.0205837	0.0203497	0.0570285	0.00359944	0.00924366	0.00827275	0.00620054	0.00237001	0.00578585	0.000242474	0.011058	0.0847431	0.00800865	0.000151191	8.99772e-05	0.000332065	0.00691308	0.0148276	0.0329646	0.0021957	0.00802565	0.00134916	0.0023882	0.0015354	0.0441666	0.00809058	0.00627346	0.0118668	0.0447331	1.147841	0.8521593	0.0652876	0.264235	0.660194	1.51471	3.78451	15.3168	1.973221	0.742402	0.0265896	0.00560985	0.0181992	0.0190476	0.031971	0.00223886	0.00444224	0.00857877	0.0128062	0.0194681	0.00193426	0.00713421	0.0404757	0.0372449	0.0022608	0.00285027	0.00259089	0.00464924	0.00599567	0.00752741	0.0170059	0.00417351	0.00166436	0.0058724	1.34712e-05	0.00414186	0.00509746	0.01137	0.00159346	0.0161849	0.0130874	0.00789241	0.00368164	0.00353388	0.000731035	0.00116156	0.023082	0.00647313	0.0171972	0.0133968	0.0282476	0.0279266	0.078262	0.00493962	0.0126854	0.011353	0.00850919	0.00325243	0.0079401	0.000332755	0.0151752	0.116296	0.0109905	0.000207483	0.000123479	0.000455703	0.00948703	0.0203484	0.0452384	0.00301323	0.0110139	0.0018515	0.00327739	0.00210707	0.0606112	0.011103	0.00860926	0.0162852	0.0613886	0.277132	0.722868	0.2771324	0.7286871
